kelime,koken,has_turkish_chars,word_length,has_double_consonant,major_vowel_harmony,minor_vowel_harmony,vowel_ratio,has_turkish_suffix,label
kıvılcım,Turkce,1,8,0,1,1,0.375,0,1
garaib,Arapça,0,6,0,0,0,0.5,0,0
minibüs,İngilizce,1,7,0,1,0,0.428571429,0,0
tremolo,İtalyanca,0,7,0,0,0,0.428571429,0,0
bekbekeç,Turkce,1,8,0,1,1,0.375,0,1
frank,Latince,0,5,0,1,1,0.2,0,0
fangri,Antik Yunanca,0,6,0,0,0,0.333333333,0,0
morbid,İngilizce,0,6,0,0,1,0.333333333,0,0
barsama,Antik Yunanca,0,7,0,1,1,0.428571429,0,0
sençer,Turkce,1,6,0,1,1,0.333333333,0,1
ergenekun,Turkce,0,9,0,0,0,0.444444444,0,1
bit,Turkce,0,3,0,1,1,0.333333333,0,1
abakan,Turkce,0,6,0,1,1,0.5,0,1
kayça,Turkce,1,5,0,1,1,0.4,0,1
başkan,Turkce,1,6,0,1,1,0.333333333,0,1
sanmış,Turkce,1,6,0,1,1,0.333333333,0,1
kapüşon,İtalyanca,1,7,0,0,0,0.428571429,0,0
diri,Turkce,0,4,0,1,1,0.5,0,1
tabğaç,Turkce,1,6,0,1,1,0.333333333,0,1
fasulye,Antik Yunanca,0,7,0,0,0,0.428571429,0,0
kurçu,Turkce,1,5,0,1,1,0.4,0,1
tele,İngilizce,0,4,0,1,1,0.5,0,0
bariz,Arapça,0,5,0,0,0,0.4,0,0
gestapo,Almanca,0,7,0,0,0,0.428571429,0,0
vernisaj,Latince,0,8,0,0,0,0.375,0,0
talkık,Turkce,1,6,0,1,1,0.333333333,0,1
tartar,Turkce,0,6,0,1,1,0.333333333,0,1
yapança,Turkce,1,7,0,1,1,0.428571429,0,1
de,Latince,0,2,0,1,1,0.5,0,0
dakika,Arapça,0,6,0,0,0,0.5,0,0
yankı,Turkce,1,5,0,1,1,0.4,0,1
defne,Antik Yunanca,0,5,0,1,1,0.4,0,0
sitem,Farsça,0,5,0,1,1,0.4,0,0
tayboğa,Turkce,1,7,0,1,0,0.428571429,0,1
dantel,Latince,0,6,0,0,0,0.333333333,0,0
soğuk,Turkce,1,5,0,1,1,0.4,0,1
çam,Turkce,1,3,0,1,1,0.333333333,0,1
interpol,İngilizce,0,8,0,0,0,0.375,0,0
cehl,Arapça,0,4,0,1,1,0.25,0,0
temüke,Turkce,1,6,0,1,0,0.5,0,1
film,İngilizce,0,4,0,1,1,0.25,0,0
siyatik,Latince,0,7,0,0,0,0.428571429,0,0
yeketaşoğul,Turkce,1,11,0,0,0,0.454545455,0,1
kök,Turkce,1,3,0,1,1,0.333333333,0,1
aydoğdu,Turkce,1,7,0,1,0,0.428571429,0,1
erbain,Arapça,0,6,0,0,0,0.5,0,0
yonga,Turkce,0,5,0,1,1,0.4,0,1
ezan,Arapça,0,4,0,0,0,0.5,0,0
habitat,İngilizce,0,7,0,0,0,0.428571429,0,0
ifrit,Farsça,0,5,0,1,1,0.4,0,0
tegin,Turkce,0,5,0,1,1,0.4,0,1
aştaloğul,Turkce,1,9,0,1,0,0.444444444,0,1
mertek,Farsça,0,6,0,1,1,0.333333333,0,0
akamet,Arapça,0,6,0,0,0,0.5,0,0
karlıgaç,Turkce,1,8,0,1,1,0.375,0,1
küşayiş,Farsça,1,7,0,0,0,0.428571429,0,0
cesaret,Arapça,0,7,0,0,0,0.428571429,0,0
akça,Turkce,1,4,0,1,1,0.5,0,1
manivela,İtalyanca,0,8,0,0,0,0.5,0,0
darp,Arapça,0,4,0,1,1,0.25,0,0
allegro,İtalyanca,0,7,1,0,0,0.428571429,0,0
mihr,Farsça,0,4,0,1,1,0.25,0,0
hoşbeş,Farsça,1,6,0,0,1,0.333333333,0,0
elan,Arapça,0,4,0,0,0,0.5,0,0
abluç,Turkce,1,5,0,1,0,0.4,0,1
akim,Arapça,0,4,0,0,0,0.5,0,0
yar,Farsça,0,3,0,1,1,0.333333333,0,0
sevinç,Turkce,1,6,0,1,1,0.333333333,0,1
reyon,Fransızca,0,5,0,0,0,0.4,0,0
ebeveyn,Arapça,0,7,0,1,1,0.428571429,0,0
çocuk,Turkce,1,5,0,1,1,0.4,0,1
mangıt,Turkce,1,6,0,1,1,0.333333333,0,1
sicil,Latince,0,5,0,1,1,0.4,0,0
röfle,İtalyanca,1,5,0,1,1,0.4,0,0
tudunyamtar,Turkce,0,11,0,1,1,0.363636364,0,1
seylap,Farsça,0,6,0,0,0,0.333333333,0,0
balgay,Turkce,0,6,0,1,1,0.333333333,0,1
kokain,Almanca,0,6,0,0,0,0.5,0,0
arif,Arapça,0,4,0,0,0,0.5,0,0
külçur,Turkce,1,6,0,0,1,0.333333333,0,1
barlıbay,Turkce,1,8,0,1,1,0.375,0,1
