kelime,koken,label
kıvılcım,Turkce,1
garaib,Arapça,0
minibüs,İngilizce,0
tremolo,İtalyanca,0
bekbekeç,Turkce,1
frank,Latince,0
fangri,Antik Yunanca,0
morbid,İngilizce,0
barsama,Antik Yunanca,0
sençer,Turkce,1
ergenekun,Turkce,1
bit,Turkce,1
abakan,Turkce,1
kayça,Turkce,1
başkan,Turkce,1
sanmış,Turkce,1
kapüşon,İtalyanca,0
diri,Turkce,1
tabğaç,Turkce,1
fasulye,Antik Yunanca,0
kurçu,Turkce,1
tele,İngilizce,0
bariz,Arapça,0
gestapo,Almanca,0
vernisaj,Latince,0
talkık,Turkce,1
tartar,Turkce,1
yapança,Turkce,1
de,Latince,0
dakika,Arapça,0
yankı,Turkce,1
defne,Antik Yunanca,0
sitem,Farsça,0
tayboğa,Turkce,1
dantel,Latince,0
soğuk,Turkce,1
çam,Turkce,1
interpol,İngilizce,0
cehl,Arapça,0
temüke,Turkce,1
film,İngilizce,0
siyatik,Latince,0
yeketaşoğul,Turkce,1
kök,Turkce,1
aydoğdu,Turkce,1
erbain,Arapça,0
yonga,Turkce,1
ezan,Arapça,0
habitat,İngilizce,0
ifrit,Farsça,0
tegin,Turkce,1
aştaloğul,Turkce,1
mertek,Farsça,0
akamet,Arapça,0
karlıgaç,Turkce,1
küşayiş,Farsça,0
cesaret,Arapça,0
akça,Turkce,1
manivela,İtalyanca,0
darp,Arapça,0
allegro,İtalyanca,0
mihr,Farsça,0
hoşbeş,Farsça,0
elan,Arapça,0
abluç,Turkce,1
akim,Arapça,0
yar,Farsça,0
sevinç,Turkce,1
reyon,Fransızca,0
ebeveyn,Arapça,0
çocuk,Turkce,1
mangıt,Turkce,1
sicil,Latince,0
röfle,İtalyanca,0
tudunyamtar,Turkce,1
seylap,Farsça,0
balgay,Turkce,1
kokain,Almanca,0
arif,Arapça,0
külçur,Turkce,1
barlıbay,Turkce,1
abes,Arapça,0
tim,İngilizce,0
beka,Arapça,0
lokavt,İngilizce,0
badıç,Turkce,1
karaokuy,Turkce,1
burguçan,Turkce,1
kanelçi,Turkce,1
utar,Turkce,1
bönge,Turkce,1
taysan,Turkce,1
iyituğrul,Turkce,1
karatoğma,Turkce,1
tarbın,Turkce,1
bartu,Turkce,1
abaş,Turkce,1
menekşe,Farsça,0
kölbilgekan,Turkce,1
bağa,Turkce,1
badi,İngilizce,0
eylek,Turkce,1
prova,İtalyanca,0
piston,İtalyanca,0
arslanbörü,Turkce,1
kontrabas,İtalyanca,0
perdah,Farsça,0
günlük,Farsça,0
kambiyo,İtalyanca,0
seğrek,Turkce,1
mandolin,İtalyanca,0
element,Almanca,0
globülin,İngilizce,0
cülus,Arapça,0
beynelmilel,Arapça,0
ok,Turkce,1
firkete,İtalyanca,0
çilav,Farsça,0
alayiş,Farsça,0
oyun,Turkce,1
karter,İngilizce,0
ekin,Turkce,1
baza,İtalyanca,0
kulan,Turkce,1
damen,Farsça,0
darağacı,Farsça,0
elit,Latince,0
turna,Turkce,1
bergü,Turkce,1
pnömoni,Fransızca,0
baksı,Turkce,1
immoral,Latince,0
emmek,Turkce,1
balçak,Turkce,1
aykut,Turkce,1
beden,Arapça,0
çarır,Turkce,1
edat,Arapça,0
turatutuk,Turkce,1
atol,İngilizce,0
çilenti,Turkce,1
çizim,Turkce,1
baydur,Turkce,1
çeşme,Farsça,0
vaks,İngilizce,0
humor,Latince,0
duçe,İtalyanca,0
usta,Turkce,1
asalet,Arapça,0
kevgir,Farsça,0
aprançur,Turkce,1
koşututuk,Turkce,1
sadak,Turkce,1
ingiltere,İtalyanca,0
toynak,Turkce,1
prostat,Fransızca,0
kursul,Turkce,1
güzaf,Farsça,0
beher,Farsça,0
ralli,İngilizce,0
tuproq,Turkce,1
aldıgerey,Turkce,1
uçarkam,Turkce,1
füsun,Farsça,0
ağda,Arapça,0
tungakağan,Turkce,1
fakat,Arapça,0
fonograf,İngilizce,0
adımlaşmak,Turkce,1
çakırkağan,Turkce,1
iflas,Latince,0
akvarel,İtalyanca,0
bakıtmak,Turkce,1
kerki,Turkce,1
çehre,Farsça,0
herniasyon,İngilizce,0
gaybubet,Arapça,0
sırım,Turkce,1
milyon,İtalyanca,0
burkay,Turkce,1
büşünçek,Turkce,1
oğla,Turkce,1
ataldı,Turkce,1
yaparlı,Turkce,1
çakal,Farsça,0
doyi,Turkce,1
algış,Turkce,1
alpyörük,Turkce,1
hız,Farsça,0
kamal,Turkce,1
altankağan,Turkce,1
ebcet,Arapça,0
eflak,Arapça,0
çare,Farsça,0
aşına,Turkce,1
ilteber,Turkce,1
alkaşı,Turkce,1
ahrar,Arapça,0
alüvyon,Latince,0
tuygan,Turkce,1
fiil,Arapça,0
opçın,Turkce,1
karakunaz,Turkce,1
füruş,Farsça,0
jöle,Latince,0
mini,İngilizce,0
akümüle,Latince,0
zırh,Farsça,0
kumandan,Almanca,0
doğu,Turkce,1
enfiye,Arapça,0
absorbe,Latince,0
vatman,İngilizce,0
sen,Turkce,1
üyge,Turkce,1
kethüda,Farsça,0
fileto,İtalyanca,0
küçlü,Turkce,1
lala,Farsça,0
toygun,Turkce,1
örebört,Turkce,1
gıybet,Arapça,0
radyo,İngilizce,0
psikopat,Almanca,0
iterasyon,Latince,0
yeğinsilik,Turkce,1
dolap,Farsça,0
kuçan,Turkce,1
yarlık,Turkce,1
alçak,Turkce,1
jüt,İngilizce,0
aberasyon,Latince,0
eros,Antik Yunanca,0
bay,Turkce,1
çünkü,Farsça,0
ıstampa,İtalyanca,0
vardakosta,İtalyanca,0
bade,Farsça,0
dün,Turkce,1
jenerasyon,Latince,0
derpiş,Farsça,0
kapasite,Latince,0
süper,İngilizce,0
alga,İtalyanca,0
lama,İngilizce,0
endikasyon,Latince,0
isiyi,Turkce,1
kros,İngilizce,0
kanlı,Turkce,1
kireç,Farsça,0
ayine,Farsça,0
kültudun,Turkce,1
delidumrul,Turkce,1
bayankağan,Turkce,1
mergen,Turkce,1
farz,Arapça,0
irkin,Turkce,1
stok,İngilizce,0
kunaz,Turkce,1
ınançubilge,Turkce,1
bağan,Turkce,1
terkenkatun,Turkce,1
tifo,İngilizce,0
poliklinik,Fransızca,0
aşna fişne,Farsça,0
atılgan,Turkce,1
mevzubahis,Farsça,0
aykırı,Turkce,1
şalter,Almanca,0
fihrist,Farsça,0
kürtürk,Turkce,1
fırsat,Arapça,0
büyümek,Turkce,1
ten,Farsça,0
yinge,Turkce,1
tayun,Turkce,1
egzistansiyalizm,Latince,0
kafes,Latince,0
amfetamin,İngilizce,0
zındık,Farsça,0
oşinografi,Almanca,0
tırmalamak,Turkce,1
tümen,Turkce,1
leke,Farsça,0
folk,İngilizce,0
spatula,İtalyanca,0
toksın,Turkce,1
yisa,İtalyanca,0
çıkanak,Turkce,1
düvel,Arapça,0
turaç,Farsça,0
ampir,Latince,0
topuk,Turkce,1
ispari,Antik Yunanca,0
kuyaş,Turkce,1
türe,Turkce,1
alfanümerik,İngilizce,0
akuple,Latince,0
trigonometri,Latince,0
pırlanta,İtalyanca,0
kerevit,Antik Yunanca,0
bahadır,Farsça,0
kâh,Farsça,0
farfara,İtalyanca,0
fücur,Arapça,0
bedevi,Arapça,0
bide,Fransızca,0
baylak,Turkce,1
bağatarkan,Turkce,1
temen,Turkce,1
aseton,Latince,0
üyründü,Turkce,1
bonmarşe,Latince,0
gûnagûn,Farsça,0
totaliter,İtalyanca,0
bektür,Turkce,1
hattrick,İngilizce,0
revani,Farsça,0
borda,İtalyanca,0
hadde,Arapça,0
play-off,İngilizce,0
yanlış,Turkce,1
bekazıl,Turkce,1
pür,Farsça,0
derin,Turkce,1
aborjin,İngilizce,0
ugan,Turkce,1
acaba,Arapça,0
pirzola,İtalyanca,0
kasmış,Turkce,1
fasih,Arapça,0
kantüre,Turkce,1
belagat,Arapça,0
ahiret,Arapça,0
panorama,İngilizce,0
kanıtgan,Turkce,1
urungukülüktok,Turkce,1
deyyus,Arapça,0
kuşburnu,Turkce,1
kanturalı,Turkce,1
salgar,Turkce,1
sibernetik,İngilizce,0
ati,Arapça,0
ani,Arapça,0
patiska,İtalyanca,0
terdike,Turkce,1
alabros,Latince,0
kanat,Turkce,1
elimine,Latince,0
toklukdemir,Turkce,1
çığay,Turkce,1
laborant,Almanca,0
olta,İtalyanca,0
şad,Farsça,0
alpdirek,Turkce,1
dava,Arapça,0
hayırhah,Farsça,0
eşantiyon,Latince,0
katmış,Turkce,1
deva,Arapça,0
beraat,Arapça,0
madonna,İtalyanca,0
moyunçur,Turkce,1
arıkağan,Turkce,1
atun,Turkce,1
kabarmak,Turkce,1
gramofon,Antik Yunanca,0
dekolte,Latince,0
ilmen,Turkce,1
tamgantarkan,Turkce,1
kitre,Farsça,0
abşar,Turkce,1
ıba,Turkce,1
burgaz,Antik Yunanca,0
burulday,Turkce,1
çintar,Farsça,0
eşraf,Arapça,0
gökyüzü,Turkce,1
salhane,Farsça,0
kam şaft,İngilizce,0
senger,Turkce,1
otokrasi,Fransızca,0
kurum,Turkce,1
regola,İtalyanca,0
fiskal,Latince,0
kensiğ,Turkce,1
ez,Farsça,0
anşante,Latince,0
bayutmuş,Turkce,1
eytam,Arapça,0
atlıkağan,Turkce,1
obez,İngilizce,0
aram,Farsça,0
toktu,Turkce,1
hafiye,Arapça,0
savlık,Turkce,1
fay,Latince,0
balamır,Turkce,1
polenta,İtalyanca,0
asar,Arapça,0
zen,Farsça,0
bidat,Arapça,0
boyan,Turkce,1
yunkuş,Turkce,1
karnivor,Latince,0
kaçaç,Turkce,1
bibikatun,Turkce,1
racon,İtalyanca,0
kâm,Farsça,0
kulüp,İngilizce,0
buluş,Turkce,1
yarukyıldız,Turkce,1
tumlumınar,Turkce,1
amentü,Arapça,0
lalanga,Farsça,0
sprey,İngilizce,0
dedüksiyon,Latince,0
zer,Farsça,0
biliş,Turkce,1
sevilsin,Turkce,1
bone,Fransızca,0
korla,Turkce,1
kambur,Antik Yunanca,0
yorum,Turkce,1
gönder,Antik Yunanca,0
tak,Farsça,0
dizdar,Farsça,0
azap,Arapça,0
süksün,Turkce,1
enstitü,Latince,0
andelip,Arapça,0
dirsekağan,Turkce,1
tümenbeği,Turkce,1
selçen,Turkce,1
buturgak,Turkce,1
hare,Farsça,0
mıdıklı,Turkce,1
bedbin,Farsça,0
selçük,Turkce,1
bazlama,Antik Yunanca,0
ilötüken,Turkce,1
çeşit,Farsça,0
erdeniözük,Turkce,1
akuzatif,Almanca,0
buhar,Arapça,0
fino,İtalyanca,0
klik,Fransızca,0
dokuzoğuz,Turkce,1
hurdahaş,Farsça,0
kutadgu,Turkce,1
kopuz,Turkce,1
alpkülük,Turkce,1
bihişt,Farsça,0
kod,İngilizce,0
köşebent,Farsça,0
eğreti,Arapça,0
"aç aceleci, tok yavaş olur",Turkce,1
cer,Arapça,0
irin,Turkce,1
azamet,Arapça,0
kaymak,Turkce,1
kayser,Latince,0
iç,Turkce,1
yuldruk,Turkce,1
bizatihi,Arapça,0
tapir,İngilizce,0
istrongilos,Antik Yunanca,0
kumaşbay,Turkce,1
çebe,Turkce,1
otamış,Turkce,1
aerobik,İngilizce,0
uluçum,Turkce,1
şah,Farsça,0
burçak,Turkce,1
ilbastı,Turkce,1
şu,Turkce,1
avar,Turkce,1
tramplen,İtalyanca,0
dübel,Almanca,0
lumpen,Almanca,0
yumgak,Turkce,1
kel,Farsça,0
akbörü,Turkce,1
feveran,Arapça,0
ınançuçur,Turkce,1
geda,Farsça,0
baltar,Turkce,1
birebin,Turkce,1
purpura,Latince,0
kevük,Turkce,1
babun,İngilizce,0
karayan,Turkce,1
otokton,Fransızca,0
add,Arapça,0
fasile,Arapça,0
katkı,Turkce,1
tahtaboş,Farsça,0
ökaliptüs,Latince,0
fatura,İtalyanca,0
vitamin,İngilizce,0
sümsüçük,Turkce,1
efektif,Latince,0
tartan,İngilizce,0
kezlik,Turkce,1
bilgeışbaratamgan,Turkce,1
garip,Arapça,0
dolmen,Fransızca,0
çağan,Turkce,1
erdemkağan,Turkce,1
gubar,Arapça,0
abat,Farsça,0
ekmel,Arapça,0
esma,Arapça,0
kerevet,Antik Yunanca,0
latte,İtalyanca,0
seçkin,Turkce,1
koşulgan,Turkce,1
kuzu,Turkce,1
gazel,Arapça,0
tanıl,Turkce,1
öfori,Fransızca,0
grip,İngilizce,0
aynı,Arapça,0
çuval,Farsça,0
ajanda,Latince,0
popcorn,İngilizce,0
barmeyd,İngilizce,0
aksolotl,İngilizce,0
yaşak,Turkce,1
davet,Arapça,0
körü,Turkce,1
çengi,Farsça,0
detektör,İngilizce,0
oğultarkan,Turkce,1
otçu,Turkce,1
libretto,İtalyanca,0
kançora,Turkce,1
cedit,Arapça,0
bakıtma,Turkce,1
deflasyon,Latince,0
pre+,İngilizce,0
ali,Arapça,0
betik,Turkce,1
nam,Farsça,0
pergola,İtalyanca,0
efendi,Antik Yunanca,0
evliya,Arapça,0
kentet,İtalyanca,0
evrak,Arapça,0
baçman,Turkce,1
spin,İngilizce,0
yurt,Turkce,1
tavus,Antik Yunanca,0
bukak,Turkce,1
depar,Latince,0
boylakutlutarkan,Turkce,1
akort,İtalyanca,0
sevindi,Turkce,1
katran,Antik Yunanca,0
civan,Farsça,0
trombon,İtalyanca,0
verizm,İtalyanca,0
salcan,Turkce,1
arslankatun,Turkce,1
fruktoz,Latince,0
külüstür,Antik Yunanca,0
politik,Fransızca,0
ak,Turkce,1
müze,Fransızca,0
yangakınal,Turkce,1
sezen,Turkce,1
barkdoğdu,Turkce,1
slogan,İngilizce,0
periton,Fransızca,0
gû,Farsça,0
vajina,İngilizce,0
üçün,Turkce,1
kettaş,Turkce,1
alakurt,Turkce,1
çoyun,Turkce,1
yelken,Turkce,1
cevap,Arapça,0
soytarı,Antik Yunanca,0
dekor,Latince,0
ruam,Antik Yunanca,0
aygırak,Turkce,1
lapin,Antik Yunanca,0
revaç,Farsça,0
kahraman,Farsça,0
fors,Latince,0
muflon,İtalyanca,0
kontratak,İngilizce,0
afaki,Arapça,0
bitter,İngilizce,0
cambaz,Farsça,0
sipsi,Turkce,1
saçak,Turkce,1
süsen,Farsça,0
lor,Farsça,0
künyıpar,Turkce,1
faraza,Arapça,0
oglançur,Turkce,1
tuman,Turkce,1
ebren,Turkce,1
yağrınçı,Turkce,1
yulduz,Turkce,1
sangı,Turkce,1
fıkra,Arapça,0
anasır,Arapça,0
sebük,Turkce,1
faiz,Arapça,0
kiş,Almanca,0
bakiye,Arapça,0
orak,Turkce,1
tuygu,Turkce,1
dilek,Turkce,1
tuyun,Turkce,1
battaniye,Arapça,0
molibden,Fransızca,0
çeyiz,Arapça,0
banka,İtalyanca,0
tüzbayküçbars,Turkce,1
küfeki,Antik Yunanca,0
cenk,Farsça,0
