kelime,koken,label
Kıvılcım,Turkce,1
garaib,Arapça,0
minibüs,İngilizce,0
tremolo,İtalyanca,0
Bekbekeç,Turkce,1
frank,Latince,0
fangri,Antik Yunanca,0
morbid,İngilizce,0
barsama,Antik Yunanca,0
Sençer,Turkce,1
Ergenekun,Turkce,1
bit,Turkce,1
Abakan,Turkce,1
Kayça,Turkce,1
başkan,Turkce,1
Sanmış,Turkce,1
kapüşon,İtalyanca,0
Diri,Turkce,1
tabğaç,Turkce,1
fasulye,Antik Yunanca,0
Kurçu,Turkce,1
tele,İngilizce,0
bariz,Arapça,0
gestapo,Almanca,0
vernisaj,Latince,0
Talkık,Turkce,1
Tartar,Turkce,1
Yapança,Turkce,1
de,Latince,0
dakika,Arapça,0
Yankı,Turkce,1
defne,Antik Yunanca,0
sitem,Farsça,0
Tayboğa,Turkce,1
dantel,Latince,0
soğuk,Turkce,1
çam,Turkce,1
interpol,İngilizce,0
cehl,Arapça,0
Temüke,Turkce,1
film,İngilizce,0
siyatik,Latince,0
Yeketaşoğul,Turkce,1
Kök,Turkce,1
Aydoğdu,Turkce,1
erbain,Arapça,0
Yonga,Turkce,1
ezan,Arapça,0
habitat,İngilizce,0
ifrit,Farsça,0
Tegin,Turkce,1
Aştaloğul,Turkce,1
mertek,Farsça,0
akamet,Arapça,0
Karlıgaç,Turkce,1
küşayiş,Farsça,0
cesaret,Arapça,0
Akça,Turkce,1
manivela,İtalyanca,0
darp,Arapça,0
allegro,İtalyanca,0
mihr,Farsça,0
hoşbeş,Farsça,0
elan,Arapça,0
Abluç,Turkce,1
akim,Arapça,0
yar,Farsça,0
Sevinç,Turkce,1
reyon,Fransızca,0
ebeveyn,Arapça,0
çocuk,Turkce,1
Mangıt,Turkce,1
sicil,Latince,0
röfle,İtalyanca,0
Tudunyamtar,Turkce,1
seylap,Farsça,0
Balgay,Turkce,1
kokain,Almanca,0
arif,Arapça,0
Külçur,Turkce,1
Barlıbay,Turkce,1
abes,Arapça,0
tim,İngilizce,0
beka,Arapça,0
lokavt,İngilizce,0
badıç,Turkce,1
Karaokuy,Turkce,1
Burguçan,Turkce,1
Kanelçi,Turkce,1
Utar,Turkce,1
Bönge,Turkce,1
Taysan,Turkce,1
İyituğrul,Turkce,1
Karatoğma,Turkce,1
Tarbın,Turkce,1
Bartu,Turkce,1
Abaş,Turkce,1
menekşe,Farsça,0
Kölbilgekan,Turkce,1
Bağa,Turkce,1
badi,İngilizce,0
Eylek,Turkce,1
prova,İtalyanca,0
piston,İtalyanca,0
Arslanbörü,Turkce,1
kontrabas,İtalyanca,0
perdah,Farsça,0
günlük,Farsça,0
kambiyo,İtalyanca,0
Seğrek,Turkce,1
mandolin,İtalyanca,0
element,Almanca,0
globülin,İngilizce,0
cülus,Arapça,0
beynelmilel,Arapça,0
Ok,Turkce,1
firkete,İtalyanca,0
çilav,Farsça,0
alayiş,Farsça,0
oyun,Turkce,1
karter,İngilizce,0
Ekin,Turkce,1
baza,İtalyanca,0
Kulan,Turkce,1
damen,Farsça,0
darağacı,Farsça,0
elit,Latince,0
turna,Turkce,1
Bergü,Turkce,1
pnömoni,Fransızca,0
Baksı,Turkce,1
immoral,Latince,0
emmek,Turkce,1
balçak,Turkce,1
Aykut,Turkce,1
beden,Arapça,0
Çarır,Turkce,1
edat,Arapça,0
Turatutuk,Turkce,1
atol,İngilizce,0
Çilenti,Turkce,1
Çizim,Turkce,1
Baydur,Turkce,1
çeşme,Farsça,0
vaks,İngilizce,0
humor,Latince,0
duçe,İtalyanca,0
usta,Turkce,1
asalet,Arapça,0
kevgir,Farsça,0
Aprançur,Turkce,1
Koşututuk,Turkce,1
Sadak,Turkce,1
İngiltere,İtalyanca,0
Toynak,Turkce,1
prostat,Fransızca,0
Kursul,Turkce,1
güzaf,Farsça,0
beher,Farsça,0
ralli,İngilizce,0
tuproq,Turkce,1
Aldıgerey,Turkce,1
Uçarkam,Turkce,1
füsun,Farsça,0
ağda,Arapça,0
Tungakağan,Turkce,1
fakat,Arapça,0
fonograf,İngilizce,0
adımlaşmak,Turkce,1
Çakırkağan,Turkce,1
iflas,Latince,0
akvarel,İtalyanca,0
bakıtmak,Turkce,1
Kerki,Turkce,1
çehre,Farsça,0
herniasyon,İngilizce,0
gaybubet,Arapça,0
Sırım,Turkce,1
milyon,İtalyanca,0
Burkay,Turkce,1
Büşünçek,Turkce,1
Oğla,Turkce,1
Ataldı,Turkce,1
Yaparlı,Turkce,1
çakal,Farsça,0
doyi,Turkce,1
Algış,Turkce,1
Alpyörük,Turkce,1
hız,Farsça,0
kamal,Turkce,1
Altankağan,Turkce,1
ebcet,Arapça,0
eflak,Arapça,0
çare,Farsça,0
Aşına,Turkce,1
İlteber,Turkce,1
Alkaşı,Turkce,1
ahrar,Arapça,0
alüvyon,Latince,0
Tuygan,Turkce,1
fiil,Arapça,0
Opçın,Turkce,1
Karakunaz,Turkce,1
füruş,Farsça,0
jöle,Latince,0
mini,İngilizce,0
akümüle,Latince,0
zırh,Farsça,0
kumandan,Almanca,0
Doğu,Turkce,1
enfiye,Arapça,0
absorbe,Latince,0
vatman,İngilizce,0
sen,Turkce,1
Üyge,Turkce,1
kethüda,Farsça,0
fileto,İtalyanca,0
Küçlü,Turkce,1
lala,Farsça,0
Toygun,Turkce,1
Örebört,Turkce,1
gıybet,Arapça,0
radyo,İngilizce,0
psikopat,Almanca,0
iterasyon,Latince,0
Yeğinsilik,Turkce,1
dolap,Farsça,0
Kuçan,Turkce,1
Yarlık,Turkce,1
alçak,Turkce,1
jüt,İngilizce,0
aberasyon,Latince,0
eros,Antik Yunanca,0
Bay,Turkce,1
çünkü,Farsça,0
ıstampa,İtalyanca,0
vardakosta,İtalyanca,0
bade,Farsça,0
dün,Turkce,1
jenerasyon,Latince,0
derpiş,Farsça,0
kapasite,Latince,0
süper,İngilizce,0
alga,İtalyanca,0
lama,İngilizce,0
endikasyon,Latince,0
İsiyi,Turkce,1
kros,İngilizce,0
Kanlı,Turkce,1
kireç,Farsça,0
ayine,Farsça,0
Kültudun,Turkce,1
Delidumrul,Turkce,1
Bayankağan,Turkce,1
Mergen,Turkce,1
farz,Arapça,0
İrkin,Turkce,1
stok,İngilizce,0
Kunaz,Turkce,1
Inançubilge,Turkce,1
Bağan,Turkce,1
Terkenkatun,Turkce,1
tifo,İngilizce,0
poliklinik,Fransızca,0
aşna fişne,Farsça,0
Atılgan,Turkce,1
mevzubahis,Farsça,0
aykırı,Turkce,1
şalter,Almanca,0
fihrist,Farsça,0
Kürtürk,Turkce,1
fırsat,Arapça,0
büyümek,Turkce,1
ten,Farsça,0
Yinge,Turkce,1
Tayun,Turkce,1
egzistansiyalizm,Latince,0
kafes,Latince,0
amfetamin,İngilizce,0
zındık,Farsça,0
oşinografi,Almanca,0
tırmalamak,Turkce,1
Tümen,Turkce,1
leke,Farsça,0
folk,İngilizce,0
spatula,İtalyanca,0
Toksın,Turkce,1
yisa,İtalyanca,0
çıkanak,Turkce,1
düvel,Arapça,0
turaç,Farsça,0
ampir,Latince,0
topuk,Turkce,1
ispari,Antik Yunanca,0
Kuyaş,Turkce,1
Türe,Turkce,1
alfanümerik,İngilizce,0
akuple,Latince,0
trigonometri,Latince,0
pırlanta,İtalyanca,0
kerevit,Antik Yunanca,0
bahadır,Farsça,0
kâh,Farsça,0
farfara,İtalyanca,0
fücur,Arapça,0
bedevi,Arapça,0
bide,Fransızca,0
Baylak,Turkce,1
Bağatarkan,Turkce,1
Temen,Turkce,1
aseton,Latince,0
Üyründü,Turkce,1
bonmarşe,Latince,0
gûnagûn,Farsça,0
totaliter,İtalyanca,0
Bektür,Turkce,1
hattrick,İngilizce,0
revani,Farsça,0
borda,İtalyanca,0
hadde,Arapça,0
play-off,İngilizce,0
yanlış,Turkce,1
Bekazıl,Turkce,1
pür,Farsça,0
derin,Turkce,1
aborjin,İngilizce,0
Ugan,Turkce,1
acaba,Arapça,0
pirzola,İtalyanca,0
Kasmış,Turkce,1
fasih,Arapça,0
Kantüre,Turkce,1
belagat,Arapça,0
ahiret,Arapça,0
panorama,İngilizce,0
Kanıtgan,Turkce,1
Urungukülüktok,Turkce,1
deyyus,Arapça,0
kuşburnu,Turkce,1
Kanturalı,Turkce,1
Salgar,Turkce,1
sibernetik,İngilizce,0
ati,Arapça,0
ani,Arapça,0
patiska,İtalyanca,0
Terdike,Turkce,1
alabros,Latince,0
kanat,Turkce,1
elimine,Latince,0
Toklukdemir,Turkce,1
Çığay,Turkce,1
laborant,Almanca,0
olta,İtalyanca,0
şad,Farsça,0
Alpdirek,Turkce,1
dava,Arapça,0
hayırhah,Farsça,0
eşantiyon,Latince,0
Katmış,Turkce,1
deva,Arapça,0
beraat,Arapça,0
madonna,İtalyanca,0
Moyunçur,Turkce,1
Arıkağan,Turkce,1
Atun,Turkce,1
kabarmak,Turkce,1
gramofon,Antik Yunanca,0
dekolte,Latince,0
İlmen,Turkce,1
Tamgantarkan,Turkce,1
kitre,Farsça,0
Abşar,Turkce,1
Iba,Turkce,1
burgaz,Antik Yunanca,0
Burulday,Turkce,1
çintar,Farsça,0
eşraf,Arapça,0
gökyüzü,Turkce,1
salhane,Farsça,0
kam şaft,İngilizce,0
Senger,Turkce,1
otokrasi,Fransızca,0
kurum,Turkce,1
regola,İtalyanca,0
fiskal,Latince,0
Kensiğ,Turkce,1
ez,Farsça,0
anşante,Latince,0
Bayutmuş,Turkce,1
eytam,Arapça,0
Atlıkağan,Turkce,1
obez,İngilizce,0
aram,Farsça,0
Toktu,Turkce,1
hafiye,Arapça,0
savlık,Turkce,1
fay,Latince,0
Balamır,Turkce,1
polenta,İtalyanca,0
asar,Arapça,0
zen,Farsça,0
bidat,Arapça,0
Boyan,Turkce,1
Yunkuş,Turkce,1
karnivor,Latince,0
Kaçaç,Turkce,1
Bibikatun,Turkce,1
racon,İtalyanca,0
kâm,Farsça,0
kulüp,İngilizce,0
Buluş,Turkce,1
Yarukyıldız,Turkce,1
Tumlumınar,Turkce,1
amentü,Arapça,0
lalanga,Farsça,0
sprey,İngilizce,0
dedüksiyon,Latince,0
zer,Farsça,0
biliş,Turkce,1
Sevilsin,Turkce,1
bone,Fransızca,0
Korla,Turkce,1
kambur,Antik Yunanca,0
yorum,Turkce,1
gönder,Antik Yunanca,0
tak,Farsça,0
dizdar,Farsça,0
azap,Arapça,0
süksün,Turkce,1
enstitü,Latince,0
andelip,Arapça,0
Dirsekağan,Turkce,1
Tümenbeği,Turkce,1
Selçen,Turkce,1
Buturgak,Turkce,1
hare,Farsça,0
Mıdıklı,Turkce,1
bedbin,Farsça,0
Selçük,Turkce,1
bazlama,Antik Yunanca,0
İlötüken,Turkce,1
çeşit,Farsça,0
Erdeniözük,Turkce,1
akuzatif,Almanca,0
buhar,Arapça,0
fino,İtalyanca,0
klik,Fransızca,0
Dokuzoğuz,Turkce,1
hurdahaş,Farsça,0
kutadgu,Turkce,1
Kopuz,Turkce,1
Alpkülük,Turkce,1
bihişt,Farsça,0
kod,İngilizce,0
köşebent,Farsça,0
eğreti,Arapça,0
"aç aceleci, tok yavaş olur",Turkce,1
cer,Arapça,0
irin,Turkce,1
azamet,Arapça,0
kaymak,Turkce,1
kayser,Latince,0
iç,Turkce,1
Yuldruk,Turkce,1
bizatihi,Arapça,0
tapir,İngilizce,0
istrongilos,Antik Yunanca,0
Kumaşbay,Turkce,1
Çebe,Turkce,1
Otamış,Turkce,1
aerobik,İngilizce,0
Uluçum,Turkce,1
şah,Farsça,0
Burçak,Turkce,1
İlbastı,Turkce,1
şu,Turkce,1
Avar,Turkce,1
tramplen,İtalyanca,0
dübel,Almanca,0
lumpen,Almanca,0
Yumgak,Turkce,1
kel,Farsça,0
Akbörü,Turkce,1
feveran,Arapça,0
Inançuçur,Turkce,1
geda,Farsça,0
Baltar,Turkce,1
Birebin,Turkce,1
purpura,Latince,0
kevük,Turkce,1
babun,İngilizce,0
Karayan,Turkce,1
otokton,Fransızca,0
add,Arapça,0
fasile,Arapça,0
Katkı,Turkce,1
tahtaboş,Farsça,0
ökaliptüs,Latince,0
fatura,İtalyanca,0
vitamin,İngilizce,0
Sümsüçük,Turkce,1
efektif,Latince,0
tartan,İngilizce,0
Kezlik,Turkce,1
Bilgeışbaratamgan,Turkce,1
garip,Arapça,0
dolmen,Fransızca,0
Çağan,Turkce,1
Erdemkağan,Turkce,1
gubar,Arapça,0
abat,Farsça,0
ekmel,Arapça,0
esma,Arapça,0
kerevet,Antik Yunanca,0
latte,İtalyanca,0
Seçkin,Turkce,1
Koşulgan,Turkce,1
Kuzu,Turkce,1
gazel,Arapça,0
Tanıl,Turkce,1
öfori,Fransızca,0
grip,İngilizce,0
aynı,Arapça,0
çuval,Farsça,0
ajanda,Latince,0
popcorn,İngilizce,0
barmeyd,İngilizce,0
aksolotl,İngilizce,0
Yaşak,Turkce,1
davet,Arapça,0
Körü,Turkce,1
çengi,Farsça,0
detektör,İngilizce,0
Oğultarkan,Turkce,1
Otçu,Turkce,1
libretto,İtalyanca,0
Kançora,Turkce,1
cedit,Arapça,0
bakıtma,Turkce,1
deflasyon,Latince,0
pre+,İngilizce,0
ali,Arapça,0
betik,Turkce,1
nam,Farsça,0
pergola,İtalyanca,0
efendi,Antik Yunanca,0
evliya,Arapça,0
kentet,İtalyanca,0
evrak,Arapça,0
Baçman,Turkce,1
spin,İngilizce,0
yurt,Turkce,1
tavus,Antik Yunanca,0
Bukak,Turkce,1
depar,Latince,0
Boylakutlutarkan,Turkce,1
akort,İtalyanca,0
Sevindi,Turkce,1
katran,Antik Yunanca,0
civan,Farsça,0
trombon,İtalyanca,0
verizm,İtalyanca,0
Salcan,Turkce,1
Arslankatun,Turkce,1
fruktoz,Latince,0
külüstür,Antik Yunanca,0
politik,Fransızca,0
Ak,Turkce,1
müze,Fransızca,0
Yangakınal,Turkce,1
Sezen,Turkce,1
Barkdoğdu,Turkce,1
slogan,İngilizce,0
periton,Fransızca,0
gû,Farsça,0
vajina,İngilizce,0
Üçün,Turkce,1
Kettaş,Turkce,1
Alakurt,Turkce,1
Çoyun,Turkce,1
yelken,Turkce,1
cevap,Arapça,0
soytarı,Antik Yunanca,0
dekor,Latince,0
ruam,Antik Yunanca,0
Aygırak,Turkce,1
lapin,Antik Yunanca,0
revaç,Farsça,0
kahraman,Farsça,0
fors,Latince,0
muflon,İtalyanca,0
kontratak,İngilizce,0
afaki,Arapça,0
bitter,İngilizce,0
cambaz,Farsça,0
sipsi,Turkce,1
saçak,Turkce,1
süsen,Farsça,0
lor,Farsça,0
Künyıpar,Turkce,1
faraza,Arapça,0
Oglançur,Turkce,1
Tuman,Turkce,1
Ebren,Turkce,1
Yağrınçı,Turkce,1
Yulduz,Turkce,1
Sangı,Turkce,1
